,BND,EFA,GLD,GSG,IEF,TIP,TLT,VEA,VNQ,VTI,VWO
BND,1.0,0.00574501679959105,0.007746930306121297,0.5850141719873592,0.8915007798540576,0.37512985353097655,0.742361007022779,0.002537218362766806,0.003499662118180442,0.04639631618383436,0.16212207263503284
EFA,0.00574501679959105,1.0,0.5345457563838415,0.29277473334342574,0.14708521455805207,0.1957413923013862,0.2799179407113095,0.9921103335712207,0.5169290605406386,0.8731511185567895,0.5853102279137642
GLD,0.007746930306121297,0.5345457563838415,1.0,0.17726205889339386,0.11643565743293069,0.049139635961776514,0.2627925804936388,0.4799951112137381,0.14406993874590998,0.6617744488313371,0.1747084032088807
GSG,0.5850141719873592,0.29277473334342574,0.17726205889339386,1.0,0.7661387368394095,0.0006634413334704106,0.7593273049793751,0.2917544859078301,0.27928646423151743,0.430292891016818,0.01951532463771656
IEF,0.8915007798540576,0.14708521455805207,0.11643565743293069,0.7661387368394095,1.0,0.19555371851425055,0.9491073166638787,0.12728997343590648,0.02750656290849705,0.26003284930047466,0.017367410511908963
TIP,0.37512985353097655,0.1957413923013862,0.049139635961776514,0.0006634413334704106,0.19555371851425055,1.0,0.12150389233583726,0.24519552714470572,0.49510013267095954,0.1300926620270567,0.5523586111955792
TLT,0.742361007022779,0.2799179407113095,0.2627925804936388,0.7593273049793751,0.9491073166638787,0.12150389233583726,1.0,0.24822080722377135,0.056045867259780044,0.4204156338319175,4.638465193158794e-05
VEA,0.002537218362766806,0.9921103335712207,0.4799951112137381,0.2917544859078301,0.12728997343590648,0.24519552714470572,0.24822080722377135,1.0,0.5740814094050456,0.8549332201079655,0.6454328419663733
VNQ,0.003499662118180442,0.5169290605406386,0.14406993874590998,0.27928646423151743,0.02750656290849705,0.49510013267095954,0.056045867259780044,0.5740814094050456,1.0,0.4968745244427296,0.5074407699864071
VTI,0.04639631618383436,0.8731511185567895,0.6617744488313371,0.430292891016818,0.26003284930047466,0.1300926620270567,0.4204156338319175,0.8549332201079655,0.4968745244427296,1.0,0.400498744134679
VWO,0.16212207263503284,0.5853102279137642,0.1747084032088807,0.01951532463771656,0.017367410511908963,0.5523586111955792,4.638465193158794e-05,0.6454328419663733,0.5074407699864071,0.400498744134679,1.0
